指标,2023年,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年
保险系统机构数(个),242.0,237.0,235.0,238.0,235.0,229.0,222.0,203.0,194.0,180.0
保险集团公司机构数(个),,,,,14.0,12.0,12.0,11.0,11.0,10.0
中资保险公司机构数(个),,,,,160.0,158.0,145.0,135.0,126.0,113.0
中资保险公司总公司机构数(个),,,,,160.0,158.0,145.0,135.0,126.0,113.0
中资保险公司省级分公司机构数(个),,,,,1928.0,2152.0,1701.0,1605.0,1558.0,1490.0
中资保险公司中心支分公司机构数(个),,,,,10033.0,10474.0,9322.0,8880.0,8585.0,8117.0
中资保险公司支公司机构数(个),,,,,29200.0,28480.0,26824.0,25788.0,23877.0,21861.0
中资保险公司营业部机构数(个),,,,,2293.0,2491.0,2407.0,2370.0,2380.0,2343.0
中资保险公司营销服务部机构数(个),,,,,40169.0,41734.0,40741.0,40760.0,40911.0,41240.0
中外合资保险公司机构数(个),,,,,61.0,59.0,57.0,57.0,57.0,57.0
中外合资保险公司总公司机构数(个),,,,,61.0,59.0,57.0,57.0,57.0,57.0
中外合资保险公司省级分公司机构数(个),,,,,400.0,374.0,354.0,327.0,304.0,276.0
