指标,2023年,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年
保险系统职工人数(人),1081122.0,1106711.0,1150050.0,1190508.0,1233180.0,1236519.0,1181849.0,1123180.0,1024572.0,904253.0
保险集团公司职工人数(人),,,,,6327.0,8264.0,7047.0,5290.0,5660.0,4824.0
中资保险公司职工人数(人),,,,,1164561.0,1162612.0,1111990.0,1059516.0,970573.0,855320.0
中资保险公司总公司职工人数(人),,,,,73330.0,70501.0,56580.0,51102.0,45187.0,40989.0
中资保险公司省级分公司职工人数(人),,,,,283518.0,283649.0,288069.0,278761.0,263123.0,244445.0
中资保险公司中心支分公司职工人数(人),,,,,431238.0,440988.0,423704.0,404909.0,370179.0,314992.0
中资保险公司支公司职工人数(人),,,,,283134.0,273319.0,255637.0,241745.0,216972.0,188588.0
中资保险公司营业部职工人数(人),,,,,22735.0,23370.0,21896.0,20175.0,18946.0,15547.0
中资保险公司营销服务部职工人数(人),,,,,70495.0,70675.0,66002.0,62727.0,56073.0,50688.0
中外合资保险公司职工人数(人),,,,,62292.0,66875.0,62812.0,58374.0,48339.0,44109.0
中外合资保险公司总公司职工人数(人),,,,,15722.0,16223.0,14900.0,14574.0,13275.0,12791.0
中外合资保险公司省级分公司职工人数(人),,,,,24273.0,27096.0,26129.0,24426.0,19854.0,17162.0
保险系统女职工人数(人),,,,,641671.0,647177.0,624366.0,600107.0,542852.0,478077.0
保险集团公司女职工人数(人),,,,,2815.0,4141.0,4055.0,2668.0,2576.0,2114.0
中资保险公司女职工人数(人),,,,,603367.0,605865.0,585081.0,565019.0,513181.0,451109.0
中资保险公司总公司女职工人数(人),,,,,36839.0,34953.0,28460.0,25341.0,22113.0,19653.0
中资保险公司省级分公司女职工人数(人),,,,,152057.0,151020.0,153157.0,149546.0,139566.0,131756.0
中资保险公司中心支分公司女职工人数(人),,,,,227939.0,236029.0,228359.0,224328.0,202721.0,172893.0
中资保险公司支公司女职工人数(人),,,,,142174.0,138357.0,131194.0,124529.0,111418.0,94158.0
中资保险公司营业部女职工人数(人),,,,,11668.0,11852.0,11223.0,10349.0,9546.0,7466.0
中资保险公司营销服务部女职工人数(人),,,,,32690.0,33654.0,32688.0,30926.0,27817.0,25183.0
中外合资保险公司女职工人数(人),,,,,35489.0,37171.0,35230.0,32420.0,27095.0,24854.0
中外合资保险公司总公司女职工人数(人),,,,,8837.0,8173.0,7497.0,7496.0,6861.0,6602.0
中外合资保险公司省级分公司女职工人数(人),,,,,14062.0,15284.0,15102.0,13648.0,11387.0,9911.0
