,,,,,,,,,
,   大浏  高速公路                                 ,,,,,,,,
,碎（砾）石压碎值、磨耗及软颗粒含量试验记录表                                                                                                                                                                                         ,,,,,,,,
,承包单位：湖南省怀化公路桥梁建设总公司                                            合同号：0 5 ,,,,,,,,
,监理单位：湖南省交通建设工程监理有限公司                                      编  号：,,,,,,,,
,样品名称,,,试验日期,,,,,
,样品来源,,,用    途,,,,,
,压碎值指标试验,试验前试样质量,试验后通过2.36mm筛的质量（g）,,,压碎值,,平均值,换算值
,,（g）,,,,（%）,,（%）,（%）
,,2851.0,623.2,,,21.9,,21.7,12.707199999999997
,,2851.0,618.7,,,21.7,,,
,,2851.0,609.8,,,21.4,,,
,磨耗试验(洛杉矶法)　,试验前试样质量,试验后过1.7mm筛洗净的试样质量,,,,,磨耗率,平均值
,,（g）,（g）,,,,,（%）,（%）
,,,,,,,,,
,,,,,,,,,
,软颗粒含量试验,试样质量（g),软颗粒质量（g）,,,,,软颗粒含量（%）,平均值（%）
,,,4.75~9.5,9.5~16,>16,,总量,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,结论：,,,,监理意见：,,,,
