,,,,,,,,,,,
,   大浏  高速公路                                 ,,,,,,,,,,
,粗集料筛分试验记录表                                                                                                                                                                                         ,,,,,,,,,,
,承包单位：湖南省怀化公路桥梁建设总公司                                          合同号：  5,,,,,,,,,,
,监理单位：湖南省交通建设工程监理有限公司                                       编   号：,,,,,,,,,,
,样品名称,碎石(4.75-31.5)mm,,,,试验日期,,,,,
,样品来源,,,,,取样日期,,,,,
,试验用途,,,,,,,,,,
,干燥试样总重(g),第1组,,,,第2组,,,,平均值,
,,4306.3,,,,4432.4,,,,,
,水洗后筛上总重(g),,,,,,,,,,
,m0.075(g),,,,,,,,,,
,P0.075(%),,,,,,,,,,
,筛孔尺寸（mm）,筛余量,分计筛余,累计,通过,筛余,分计,累计,通过,平均通过,
,,,,筛余,率,量,筛余,筛余,率,率,
,,（g）,(%),（%）,（%）,（g）,(%),（%）,（%）,（%）,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,37.5,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0
,31.5,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,100.0,95-100
,26.5,181.3,4.2,4.2,95.8,156.8,3.5,3.5,96.5,96.15,-
,19.0,989.3,23.0,27.2,72.8,856.8,19.4,22.9,77.1,74.94999999999999,55-85
,16.0,669.6,15.6,42.8,57.2,667.9,15.1,38.0,62.0,59.6,-
,9.5,1561.1,36.3,79.1,20.900000000000006,1863.2,42.1,80.1,19.900000000000006,20.400000000000006,10-30
,4.75,479.6,11.2,90.3,9.700000000000003,460.9,10.4,90.5,9.5,9.600000000000001,0-10
,2.36,329.6,7.7,98.0,2.0,322.3,7.3,97.8,2.200000000000003,2.1000000000000014,0-5
,筛底m底,89.3,2.1,100.1,-0.09999999999999432,99.2,2.2,100.0,0.0,-0.04999999999999716,
,筛后总重,4299.8,,,,4427.099999999999,,,,,
,损耗 (g),6.5,,,,5.300000000000182,,,,,
,损耗率%),0.15,,,,0.12,,,,,
,扣除损耗后总重(g),4299.8,,,,4427.099999999999,,,,,
,结论：,,,,,监理意见：,,,,,
